name,pop,lat,lon,type
01721,4,42.257956,-71.45886,Urbanized Area
01749,3,42.389813,-71.55791,Urbanized Area
01930,1,42.624015,-70.67552,Urbanized Area
02050,1,42.109763,-70.69172,Urbanized Area
02139,1,42.364347,-71.10431,Urbanized Area
02215,1,42.346997,-71.10215,Urbanized Area
02368,18,42.173417,-71.04912,Urbanized Area
02703,1,41.928099,-71.31456,Urbanized Area
02840,1,41.488002,-71.31262,Urbanized Area
02909,19,41.8191,-71.44775,Urbanized Area
02917,6,41.894499,-71.51646,Urbanized Area
03060,1,42.748888,-71.46492,Urbanized Area
03104,1,43.006033,-71.44716,Urbanized Area
03220,2,43.459555,-71.47352,Urban Cluster
04101,13,43.660525,-70.25862,Urbanized Area
04330,2,44.344406,-69.76345,Urban Cluster
04401,68,44.81777,-68.78952,Urbanized Area
06074,2,41.836664999999996,-72.56076,Urbanized Area
06098,2,41.925967,-73.06944,Urban Cluster
06716,13,41.594785,-72.97889,Urbanized Area
07018,1,40.75555,-74.21897,Urbanized Area
07024,151,40.849879,-73.97501,Urbanized Area
07055,126,40.857384,-74.12899,Urbanized Area
07060,5,40.620102,-74.42481,Urbanized Area
07104,3,40.767702,-74.16831,Urbanized Area
07114,1,40.707553,-74.17883,Urbanized Area
07432,15,40.99312,-74.14286,Urbanized Area
07470,1,40.943608,-74.25004,Urbanized Area
07731,2,40.146597,-74.20815,Urbanized Area
07901,6,40.714501,-74.3633,Urbanized Area
08045,1,39.866513,-75.03197,Urbanized Area
08344,3,39.562763,-75.00955,Urbanized Area
08527,1,40.11597,-74.32251,Urbanized Area
08759,2,39.943541,-74.36949,Urbanized Area
08872,15,40.461605,-74.3474,Urbanized Area
08901,75,40.488304,-74.44775,Urbanized Area
10001,4897,40.750742,-73.99653,Urbanized Area
10002,4356,40.71704,-73.987,Urbanized Area
10003,5356,40.732509,-73.98935,Urbanized Area
10004,1467,40.699226,-74.04118,Urbanized Area
10005,890,40.706019,-74.00858,Urbanized Area
10006,475,40.707904,-74.01342,Urbanized Area
10007,1131,40.714754,-74.00721,Urbanized Area
10009,4438,40.727092999999996,-73.97864,Urbanized Area
10010,4654,40.739022,-73.98205,Urbanized Area
10011,5513,40.741012,-74.00012,Urbanized Area
10012,2738,40.72596,-73.99834,Urbanized Area
10013,3552,40.720666,-74.00526,Urbanized Area
10014,4688,40.734718,-74.00532,Urbanized Area
10016,5734,40.74618,-73.97759,Urbanized Area
10017,3864,40.752159,-73.97231,Urbanized Area
10018,2758,40.755101,-73.99337,Urbanized Area
10019,5083,40.765714,-73.9856,Urbanized Area
10020,114,40.758667,-73.98024,Urbanized Area
10021,3611,40.76842,-73.96045,Urbanized Area
10022,6113,40.759015,-73.96732,Urbanized Area
10023,4383,40.776099,-73.98285,Urbanized Area
10024,3723,40.786387,-73.97709,Urbanized Area
10025,3997,40.798502,-73.96811,Urbanized Area
10026,837,40.802853,-73.95471,Urbanized Area
10027,1830,40.812665,-73.95499,Urbanized Area
10028,4479,40.776777,-73.9541,Urbanized Area
10029,1852,40.791586,-73.94575,Urbanized Area
10030,11,40.818151,-73.94351,Urbanized Area
10035,1239,40.802395,-73.93359,Urbanized Area
10036,4811,40.759511,-73.99019,Urbanized Area
10038,1608,40.709677,-74.00365,Urbanized Area
10065,3271,40.76545,73.9624,Urbanized Area
10069,840,40.775477,-73.9905,Urbanized Area
10075,2333,40.76545,73.9624,Urbanized Area
10112,70,40.759291,-73.97979,Urbanized Area
10128,3551,40.781894,-73.95039,Urbanized Area
10168,54,40.751933,-73.976794,Urbanized Area
10170,161,40.752859,-73.97608,Urbanized Area
10278,13,40.715721,-74.00395,Urbanized Area
10280,368,40.707467,-74.0178,Urbanized Area
10282,573,40.717179,-74.01433,Urbanized Area
10301,2,40.631775,-74.09432,Urbanized Area
10302,247,40.631127,-74.13715,Urbanized Area
10303,74,40.629448,-74.16239,Urbanized Area
10304,26,40.60787,-74.08991,Urbanized Area
10305,60,40.599021,-74.07503,Urbanized Area
10306,33,40.569394,-74.11785,Urbanized Area
10309,1,40.529749,-74.21304,Urbanized Area
10310,14,40.63212,-74.11551,Urbanized Area
10312,1,40.543117,-74.17628,Urbanized Area
10314,288,40.606337,-74.14513,Urbanized Area
10455,2,40.815559,-73.90771,Urbanized Area
10464,17,40.857017,-73.78903,Urbanized Area
10473,1,40.818514,-73.85893,Urbanized Area
10474,559,40.81321,-73.88755,Urbanized Area
10522,13,41.012729,-73.86602,Urbanized Area
10591,16,41.080196,-73.85721,Urbanized Area
10595,27,41.083848,-73.77785,Urbanized Area
10703,5,40.956546,-73.8799,Urbanized Area
10705,42,40.917281,-73.89142,Urbanized Area
10706,2,40.992084,-73.8729,Urbanized Area
11096,13,40.618206,-73.74762,Urbanized Area
11101,613,40.745341,-73.93907,Urbanized Area
11102,268,40.771286,-73.92462,Urbanized Area
11104,17,40.743796,-73.91949,Urbanized Area
11105,5,40.774686,-73.90816,Urbanized Area
11106,198,40.762012,-73.93147,Urbanized Area
11109,36,40.651378,-73.870779,Urbanized Area
11201,1351,40.695286,-73.98907,Urbanized Area
11205,452,40.694214,-73.96529,Urbanized Area
11206,35,40.702348,-73.94288,Urbanized Area
11208,11,40.672666,-73.87248,Urbanized Area
11209,122,40.62327,-74.0295,Urbanized Area
11211,1858,40.71209,-73.95427,Urbanized Area
11215,1131,40.667508,-73.9856,Urbanized Area
11216,16,40.680398,-73.94824,Urbanized Area
